,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1975.0,25.0,25.0,1.0,75.0
1,1963.0,13.0,37.0,2.0,88.0
2,1955.0,3.0,45.0,3.0,91.0
3,1954.0,1.0,46.0,4.0,92.0
4,1953.0,0.0,47.0,5.0,92.0
5,1953.0,0.0,47.0,6.0,92.0
6,1953.0,0.0,47.0,7.0,92.0
7,1953.0,0.0,47.0,8.0,92.0
8,1953.0,0.0,47.0,9.0,92.0
9,1953.0,0.0,47.0,10.0,92.0
10,1953.0,0.0,47.0,11.0,92.0
11,1953.0,0.0,47.0,12.0,92.0
12,1953.0,0.0,47.0,13.0,92.0
13,1953.0,0.0,47.0,14.0,92.0
14,1953.0,0.0,47.0,15.0,92.0
15,1953.0,0.0,47.0,16.0,92.0
16,1953.0,0.0,47.0,17.0,92.0
17,1953.0,0.0,47.0,18.0,92.0
18,1953.0,0.0,47.0,19.0,92.0
19,1953.0,0.0,47.0,20.0,92.0
